,ids,names,current_prices
60,67edfe22d021bd5ffb8c40d1,Điện thoại iPhone 15 Plus 256GB,22790000.0
61,67edfe22d021bd5ffb8c40d2,Điện thoại iPhone 15 Plus 512GB,28790000.0
62,67edfe22d021bd5ffb8c40d3,Điện thoại Samsung Galaxy A35 5G 8GB/256GB,8090000.0
63,67edfe22d021bd5ffb8c40d4,Điện thoại Xiaomi 15 5G 12GB/256GB,
64,67edfe22d021bd5ffb8c40d5,Điện thoại Xiaomi 15 5G 12GB/512GB,
65,67edfe22d021bd5ffb8c40d6,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB,
66,67edfe22d021bd5ffb8c40d7,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng,31990000.0
67,67edfe23d021bd5ffb8c40d8,Điện thoại OPPO A60 8GB/128GB,5490000.0
68,67edfe23d021bd5ffb8c40d9,Điện thoại OPPO A60 8GB/256GB,5790000.0
69,67edfe23d021bd5ffb8c40da,Điện thoại OPPO A3x 4GB/128GB,3690000.0
70,67edfe23d021bd5ffb8c40db,Điện thoại OPPO A3x 4GB/64GB,3090000.0
71,67edfe23d021bd5ffb8c40dc,Điện thoại OPPO A3x 6GB/128GB,4190000.0
72,67edfe23d021bd5ffb8c40dd,Điện thoại realme 13+ 5G 8GB/256GB,7890000.0
73,67edfe23d021bd5ffb8c40de,Điện thoại realme 13+ 5G 12GB/256GB,9190000.0
74,67edfe23d021bd5ffb8c40df,Điện thoại vivo V40 5G 12GB/256GB,12990000.0
75,67edfe24d021bd5ffb8c40e0,Điện thoại HONOR X5 Plus 4GB/64GB,2490000.0
76,67edfe24d021bd5ffb8c40e1,Điện thoại Samsung Galaxy A05s 6GB/128GB,3690000.0
77,67edfe24d021bd5ffb8c40e2,Điện thoại iPhone 15 128GB,15990000.0
78,67edfe24d021bd5ffb8c40e3,Điện thoại iPhone 15 256GB,18990000.0
79,67edfe24d021bd5ffb8c40e4,Điện thoại iPhone 14 Plus 512GB,22990000.0
80,67edfe24d021bd5ffb8c40e5,Điện thoại iPhone 14 128GB,13090000.0
81,67edfe25d021bd5ffb8c40e6,Điện thoại Samsung Galaxy S24 FE 5G 8GB/128GB,12990000.0
