,ids,names
44,67edfe71d021bd5ffb8c41cf,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (25P2315)
45,67edfe6ad021bd5ffb8c416e,Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/1TB/Win11 (83EM003FVN)
46,67edfe6cd021bd5ffb8c418b,Laptop Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U/16GB/512GB/Win11 (NX.J2SSV.004)
47,67edfe6cd021bd5ffb8c418e,Laptop HP 240 G8 i3 1115G4/8GB/512GB/Win11 (6L1A2PA)
48,67edfe70d021bd5ffb8c41bb,Laptop HP Pavilion X360 14 ek2027TU Core 7 150U/16GB/512GB/Touch/Pen/Win11 (9Z2V9PA)
49,67edfe70d021bd5ffb8c41ba,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W)
50,67edfe6bd021bd5ffb8c4179,Laptop Dell Latitude 3440 i5 1235U/16GB/512GB/Win11 (L3440-I51235U-16G512G)
51,67edfe6dd021bd5ffb8c4199,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/120Hz/Win11 (MA467W)
52,67edfe6dd021bd5ffb8c4195,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W)
53,67edfe6dd021bd5ffb8c419c,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Túi/Win11
54,67edfe70d021bd5ffb8c41c3,Laptop Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U/16GB/512GB/Win11 (NX.J2SSV.005)
55,67edfe77d021bd5ffb8c4213,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA)
56,67edfe74d021bd5ffb8c41f2,Laptop Asus Vivobook 15 X1504VA i3 1315U/8GB/512GB/Win11 (NJ1634W)
57,67edfe6ed021bd5ffb8c41a1,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U165W11SLU)
58,67edfe6cd021bd5ffb8c4189,Laptop Lenovo Ideapad Slim 3 16IRH10 i5 13420H/24GB/512GB/Win11 (83K20003VN)
59,67edfe6ed021bd5ffb8c41a2,Laptop Asus Vivobook 14 X1404VA i5 1335U/16GB/512GB/Win11 (NK050W)
60,67edfe6bd021bd5ffb8c4180,Laptop Lenovo Ideapad Slim 5 15IRU9 Core 5 120U/16GB/512GB/Win11 (83D0000EVN)
61,67edfe6cd021bd5ffb8c418f,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002)
62,67edfe6dd021bd5ffb8c419f,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA)
63,67edfe6ed021bd5ffb8c41a4,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA)
64,67edfe77d021bd5ffb8c4214,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 7 155H/32GB/1TB/120Hz/Túi/Win11 (PP152W)
65,67edfe6dd021bd5ffb8c4197,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B)
66,67edfe6fd021bd5ffb8c41ae,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i7U165W11BLU-FP)
67,67edfe72d021bd5ffb8c41d2,Laptop Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U/16GB/512GB/Win11 (NX.J1HSV.002)
68,67edfe6fd021bd5ffb8c41af,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/120Hz/OfficeHS/Win11 (MA586WS)
69,67edfe6fd021bd5ffb8c41b7,Laptop Lenovo IdeaPad 5 2in1 14IRH9 i5 13420H/16GB/512GB/Touch/Pen/Win11 (83KX003WVN)
70,67edfe71d021bd5ffb8c41c9,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/32GB/1TB/Win11 (21M7004LVN)
71,67edfe71d021bd5ffb8c41ca,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA)
72,67edfe75d021bd5ffb8c41f9,Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT)
73,67edfe6cd021bd5ffb8c4191,Laptop Dell Vostro 3530 i5 1335U/16GB/512GB/120Hz/OfficeHS/Win11 (80GG93)
74,67edfe6bd021bd5ffb8c417f,Laptop Acer Aspire 5 A515 58M 56YX i5 13420H/16GB/512GB/Win11 (NX.KQ8SV.005)
75,67edfe71d021bd5ffb8c41cb,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B4PT)
76,67edfe70d021bd5ffb8c41bc,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA)
77,67edfe6fd021bd5ffb8c41b8,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (71043885)
78,67edfe6ed021bd5ffb8c41a8,Laptop Lenovo ThinkBook 14 G6 i7 1355U/16GB/512GB/Win11 (21KG00BQVN)
79,67edfe6dd021bd5ffb8c4193,Laptop Lenovo V14 G4 i7 1355U/16GB/512GB/Win11 (83A00012VN)
80,67edfe76d021bd5ffb8c4208,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/1TB/120Hz/OfficeHS/Win11 (N3530-i7U161W11BLU-FP)
81,67edfe76d021bd5ffb8c4207,Laptop Asus Vivobook S 16 OLED S5606MA Ultra 5 125H/16GB/512GB/120Hz/Win11 (MX050W)
82,67edfe6fd021bd5ffb8c41b0,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (6L1X8PA)
83,67edfe6ed021bd5ffb8c41ab,Laptop Dell Vostro 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (71030559)
84,67edfe6fd021bd5ffb8c41b5,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H/32GB/1TB/Win11 (83DA0020VN)
85,67edfe70d021bd5ffb8c41c0,Laptop MSI Modern 14 C13M i5 1335U/16GB/512GB/Win11 (611VN)
86,67edfe75d021bd5ffb8c41fd,Laptop Lenovo ThinkBook 16 G7 Ultra 7 155U/32GB/1TB/Win11 (21MS007HVN)
87,67edfe6fd021bd5ffb8c41b9,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5340W1)
88,67edfe75d021bd5ffb8c4200,Laptop HP Pavilion 15 eg3094TU i5 1335U/8GB/512GB/Win11 (8C5L5PA)
89,67edfe74d021bd5ffb8c41e7,Laptop Lenovo ThinkPad E16 Ultra 7 155H/32GB/1TB/Win11 (21MA004PVN)
90,67edfe6ed021bd5ffb8c41a6,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (9T2G2PT)
91,67edfe75d021bd5ffb8c41fe,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007)
92,67edfe69d021bd5ffb8c415c,Laptop Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H/16GB/512GB/Win11 (NX.J4YSV.002)
93,67edfe70d021bd5ffb8c41c1,Laptop Asus Zenbook A14 UX3407QA X1 26 100/16GB/512GB/OfficeHS24+365/Win11 (QD299WS)
94,67edfe72d021bd5ffb8c41da,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 7 155U/16GB/512GB/Win11 (21M7004UVN)
95,67edfe7cd021bd5ffb8c425a,Laptop Dell Inspiron 14 5440 i5 1334U/16GB/512GB/OfficeHS/Win11 (NDY5V1)
96,67edfe6ed021bd5ffb8c41ac,Laptop Acer Swift Go 14 41 R251 R5 7430U/16GB/1TB/Win11 (NX.KG3SV.005)
97,67edfe6dd021bd5ffb8c4196,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71043888)
98,67edfe72d021bd5ffb8c41db,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (7FN5J)
99,67edfe76d021bd5ffb8c420b,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (9H1N9PT)
100,67edfe72d021bd5ffb8c41d5,Laptop Asus Vivobook 16 X1605VA i5 13420H/16GB/512GB/OfficeHS24+365/Win11 (MB1876WS)
101,67edfe71d021bd5ffb8c41cc,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (873D1PA)
102,67edfe75d021bd5ffb8c41f6,Laptop Lenovo ThinkBook 14 G7 Ultra 7 155U/32GB/1TB/Win11 (21MR0070VN)
103,67edfe71d021bd5ffb8c41d0,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2)
104,67edfe73d021bd5ffb8c41e4,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU)
105,67edfe72d021bd5ffb8c41d1,Laptop HP Envy X360 14 fa0050AU R5 8640HS/16GB/512GB/Touch/Pen/Win11 (A29H8PA)
106,67edfe79d021bd5ffb8c422c,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (873F2PA)
107,67edfe73d021bd5ffb8c41e3,Laptop MSI Prestige 14 AI Studio C1VEG Ultra 7 155H/32GB/1TB/6GB RTX4050/Túi/Win11 (056VN)
108,67edfe71d021bd5ffb8c41c6,Laptop Lenovo ThinkBook 16 G6 i5 13420H/16GB/512GB/Win11 (21KH00Q0VN)
109,67edfe74d021bd5ffb8c41ef,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/OfficeHS/Win11 (N5640-C7U161W11IBU)
110,67edfe70d021bd5ffb8c41bf,Laptop Acer Aspire 5 A514 56P 54TN i5 1335U/8GB/512GB/Win11 (NX.KHRSV.004)
111,67edfe78d021bd5ffb8c421f,Laptop Asus Vivobook 16 X1605VA i7 13620H/16GB/512GB/OfficeHS24+365/Win11 (MB1875WS)
112,67edfe71d021bd5ffb8c41cd,Laptop Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H/32GB/512GB/Win11 (83DA001YVN)
113,67edfe75d021bd5ffb8c41f8,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN)
114,67edfe75d021bd5ffb8c41fa,Laptop Lenovo V14 Core 5 120U/16GB/512GB/Win11 (83HD0001VN)
115,67edfe73d021bd5ffb8c41e0,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/16GB/512GB/Win11 (83DA001NVN)
116,67edfe78d021bd5ffb8c421e,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/512GB/OfficeHS/Win11 (N4I7204W1)
117,67edfe73d021bd5ffb8c41e5,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/Office365/KYHD/Win11 (N5I7301W1)
118,67edfe76d021bd5ffb8c4201,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/2GB MX570A/OfficeHS/Win11 (KHPF5)
119,67edfe7bd021bd5ffb8c424c,Laptop Asus Zenbook 14 OLED UM3406KA R7 AI 350/32GB/512GB/120Hz/OfficeHS24+365/Win11 (PP555WS)
120,67edfe73d021bd5ffb8c41df,Laptop HP Envy x360 14 fc0094TU Ultra 5 125U/16GB/512GB/Touch/Pen/Win11 (A19C4PA)
121,67edfe7dd021bd5ffb8c4266,Laptop Lenovo IdeaPad 5 2in1 14IRH9 i7 13620H/16GB/512GB/Touch/Pen/Win11 (83KX003XVN)
122,67edfe6fd021bd5ffb8c41b3,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA)
123,67edfe74d021bd5ffb8c41e9,Laptop Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H/16GB/512GB/Win11 (NX.KSLSV.001)
124,67edfe79d021bd5ffb8c422f,Laptop Lenovo V15 G5 IRL Core 5 120U/16GB/512GB/Win11 (83HF0000VN)
125,67edfe78d021bd5ffb8c4221,Laptop MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H/16GB/1TB/6GB RTX3050/144Hz/Túi/Win11 (058VN)
126,67edfe76d021bd5ffb8c4204,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (P16WD2)
127,67edfe76d021bd5ffb8c4206,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W)
128,67edfe7ad021bd5ffb8c423f,Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (873D3PA)
129,67edfe76d021bd5ffb8c4209,Laptop Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H/32GB/1TB/OfficeHS/Win11 (83CV001VVN)
130,67edfe78d021bd5ffb8c4223,Laptop Lenovo ThinkBook 16 G7 Ultra 5 125U/16GB/512GB/Win11 (21MS007GVN)
131,67edfe76d021bd5ffb8c420c,Laptop Acer Aspire 3 A315 58 529V i5 1135G7/8GB/256GB/Win11 (NX.ADDSV.00N)
132,67edfe77d021bd5ffb8c4216,Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W)
133,67edfe7ed021bd5ffb8c427c,Laptop MSI Modern 15 B12MO i7 1255U/16GB/512GB/Win11 (487VN)
134,67edfe77d021bd5ffb8c4212,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (i5U165W11GRU)
135,67edfe71d021bd5ffb8c41c8,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (V3520-i5U165W11GRU)
136,67edfe77d021bd5ffb8c4217,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W)
137,67edfe7bd021bd5ffb8c424f,Laptop HP Envy X360 14 fa0048AU R7 8840HS/16GB/512GB/Touch/Pen/Win11 (A19BQPA)
138,67edfe73d021bd5ffb8c41de,Laptop HP Pavilion 15 eg3095TU i5 1335U/8GB/512GB/Win11 (8C5L6PA)
139,67edfe78d021bd5ffb8c421c,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/KYHD/Win11 (V5I5610W1)
140,67edfe78d021bd5ffb8c4222,Laptop Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H/16GB/512GB/Win11 (NX.KSLSV.002)
141,67edfe78d021bd5ffb8c4226,Laptop Lenovo ThinkBook 14 Ultra 7 155U/16GB/512GB/Win11 (21MR0072VN)
