,ids,names
36,67edfe73d021bd5ffb8c41e1,Laptop Lenovo Gaming LOQ 15IRX9 i7 13650HX/24GB/512GB/6GB RTX4050/144Hz/Win11 (83DV00UGVN)
37,67edfe72d021bd5ffb8c41d4,Laptop Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003)
38,67edfe6fd021bd5ffb8c41b6,Laptop Acer Gaming Nitro V ANV15 51 58AN i5 13420H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.001)
39,67edfe70d021bd5ffb8c41be,Laptop MSI Gaming GF63 Thin 12UC i7 12650H/8GB/512GB/4GB RTX3050/144Hz/Win11 (887VN)
40,67edfe72d021bd5ffb8c41d8,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN)
41,67edfe75d021bd5ffb8c41f5,Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/16GB/1TB/8GB RTX4060/165Hz/Win11 (83DG0051VN)
42,67edfe73d021bd5ffb8c41dd,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP186W)
43,67edfe75d021bd5ffb8c41f3,Laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.004)
44,67edfe74d021bd5ffb8c41ec,Laptop Asus ROG Strix G16 G614JV i7 13650HX/32GB/1TB/8GB RTX4060/165Hz/Win11 (N3515W)
45,67edfe6ed021bd5ffb8c41a3,Laptop Acer Gaming Aspire 7 A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002)
46,67edfe7ad021bd5ffb8c4239,Laptop HP Gaming VICTUS 16 r0130TX i5 13500H/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N5PA)
47,67edfe72d021bd5ffb8c41d6,Laptop MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H/32GB/1TB/8GB RTX4060/120Hz/Balo/Tai nghe/Móc chìa khóa/Chuột/Lót chuột/Win11 (085VN)
48,67edfe75d021bd5ffb8c41f7,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4060/240Hz/Win11 (83DF0047VN)
49,67edfe77d021bd5ffb8c4219,Laptop HP Gaming VICTUS 16 s0077AX R7 7840HS/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N6PA)
50,67edfe74d021bd5ffb8c41f1,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/1TB/4GB RTX3050/144Hz/Win11 (HN229W)
51,67edfe77d021bd5ffb8c4215,Laptop HP Gaming VICTUS 16 s0078AX R5 7640HS/16GB/512GB/6GB RTX3050/144Hz/Win11 (8C5N7PA)
52,67edfe7dd021bd5ffb8c4263,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/12GB/512GB/6GB RTX3050/144Hz/Win11 (83LK0036VN)
53,67edfe6ed021bd5ffb8c41a9,Laptop MSI Gaming GF63 Thin 12VE i5 12450H/8GB/512GB/6GB RTX4050/144Hz/Win11 (460VN)
54,67edfe75d021bd5ffb8c41f8,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN)
55,67edfe75d021bd5ffb8c41f4,Laptop MSI Gaming Cyborg 14 A13VE i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (090VN)
56,67edfe75d021bd5ffb8c41fc,Laptop Asus TUF Gaming F15 FX507ZC4 i7 12700H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN181W)
57,67edfe76d021bd5ffb8c4201,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/2GB MX570A/OfficeHS/Win11 (KHPF5)
58,67edfe77d021bd5ffb8c420e,Laptop MSI Gaming Katana A15 AI B8VF R7 8845HS/16GB/512GB/8GB RTX4060/144Hz/Balo/Win11 (419VN)
59,67edfe75d021bd5ffb8c41ff,Laptop Acer Nitro V 16 ProPanel ANV16 41 R6ZY R5 8645HS/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QP2SV.002)
60,67edfe76d021bd5ffb8c420a,Laptop Acer Gaming Nitro V ANV15 51 57B2 i5 13420H/8GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.001)
61,67edfe78d021bd5ffb8c421d,Laptop MSI Gaming Katana A15 AI B8VG R7 8845HS/16GB/1TB/8GB RTX4070/144Hz/Balo/Chuột/Bàn di/Win11 (465VN)
62,67edfe77d021bd5ffb8c420f,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4070/240Hz/Win11 (83DF0046VN)
63,67edfe77d021bd5ffb8c4218,Laptop Asus TUF Gaming A15 FA506NF R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN012W)
64,67edfe76d021bd5ffb8c420d,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/8GB RTX4060/144Hz/Win11 (83JC003YVN)
65,67edfe7ad021bd5ffb8c423e,Laptop MSI Gaming Katana A15 AI B8VE R7 8845HS/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (402VN)
66,67edfe76d021bd5ffb8c4203,Laptop MSI Gaming Cyborg 15 AI A1VEK Ultra 7 155H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (053VN)
67,67edfe78d021bd5ffb8c4229,Laptop Asus TUF Gaming A15 FA506NC R5 7535HS/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN017W)
68,67edfe79d021bd5ffb8c422a,Laptop Dell G15 5530 i9 13900HX/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Win11 (i9HX161W11GR4060)
69,67edfe79d021bd5ffb8c422b,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP167W)
70,67edfe79d021bd5ffb8c4233,Laptop HP VICTUS 16 r0127TX i7 13700H/16GB/512GB/8GB RTX4060/144Hz/Win11 (8C5N2PA)
