,ids,names,current_prices
40,67edfe6ad021bd5ffb8c4171,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),13690000
41,67edfe6ad021bd5ffb8c4172,Laptop Asus Gaming Vivobook K3605ZC i5 12500H/16GB/512GB/4GB RTX3050/Win11 (RP629W),19990000
42,67edfe6ad021bd5ffb8c4173,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),9990000
43,67edfe6ad021bd5ffb8c4174,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN330W),20390000
44,67edfe6bd021bd5ffb8c4175,Laptop MSI Gaming Thin 15 B12UC i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Balo/Win11 (2045VN),18190000
45,67edfe6bd021bd5ffb8c4176,Laptop Lenovo Ideapad 1 15ALC7 R7 5700U/16GB/512GB/Win11 (82R400C1VN),13190000
46,67edfe6bd021bd5ffb8c4177,Laptop HP Gaming VICTUS 15 fb1022AX R5 7535HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (94F19PA),16990000
47,67edfe6bd021bd5ffb8c4178,Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA),20190000
48,67edfe6bd021bd5ffb8c4179,Laptop Dell Latitude 3440 i5 1235U/16GB/512GB/Win11 (L3440-I51235U-16G512G),16990000
49,67edfe6bd021bd5ffb8c417a,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1546W),14490000
50,67edfe6bd021bd5ffb8c417b,Laptop MSI Modern 15 B12MO i5 1235U/16GB/512GB/Win11 (628VN),12890000
51,67edfe6bd021bd5ffb8c417c,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W),23990000
52,67edfe6bd021bd5ffb8c417d,Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H/8GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.008),15790000
53,67edfe6bd021bd5ffb8c417e,Laptop MacBook Air 13 inch M3 16GB/512GB (MXCV3SA/A),31590000
54,67edfe6bd021bd5ffb8c417f,Laptop Acer Aspire 5 A515 58M 56YX i5 13420H/16GB/512GB/Win11 (NX.KQ8SV.005),14990000
55,67edfe6bd021bd5ffb8c4180,Laptop Lenovo Ideapad Slim 5 15IRU9 Core 5 120U/16GB/512GB/Win11 (83D0000EVN),17690000
56,67edfe6bd021bd5ffb8c4181,Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),17790000
57,67edfe6cd021bd5ffb8c4182,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U085W11SLU),14990000
58,67edfe6cd021bd5ffb8c4183,Laptop Asus TUF Gaming A15 FA506NFR R7 7435HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN113W),18690000
59,67edfe6cd021bd5ffb8c4184,Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (9H2E4PT),17590000
60,67edfe6cd021bd5ffb8c4185,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W),17990000
61,67edfe6cd021bd5ffb8c4186,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005),27690000
62,67edfe6cd021bd5ffb8c4187,Laptop MSI Thin 15 B13UC i7 13620H/32GB/512GB/4GB RTX3050/144Hz/Balo/Win11 (1411VN),21690000
63,67edfe6cd021bd5ffb8c4188,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/6GB RTX4050/144Hz/Win11 (83JC0040VN),27190000
64,67edfe6cd021bd5ffb8c4189,Laptop Lenovo Ideapad Slim 3 16IRH10 i5 13420H/24GB/512GB/Win11 (83K20003VN),17490000
65,67edfe6cd021bd5ffb8c418a,Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H/16GB/512GB/Win11 (83K1000HVN),16490000
66,67edfe6cd021bd5ffb8c418b,Laptop Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U/16GB/512GB/Win11 (NX.J2SSV.004),14790000
67,67edfe6cd021bd5ffb8c418c,Laptop Asus TUF Gaming A15 FA506NCR R7 7435HS/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN097W),20190000
68,67edfe6cd021bd5ffb8c418d,Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA),23690000
69,67edfe6cd021bd5ffb8c418e,Laptop HP 240 G8 i3 1115G4/8GB/512GB/Win11 (6L1A2PA),10190000
70,67edfe6cd021bd5ffb8c418f,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002),12990000
