group_id,group_name
432,Laptop HP Elitebook 635 Aero G11 R5 8640U/16GB/512GB/Win11 (A8WS6PT)
447,Laptop Asus Vivobook 14 X1404VA i5 1334U/16GB/512GB/OfficeHS24+365/Win11 (NK771WS)
453,Laptop Dell XPS 13 9350 Ultra 7 256V/16GB/512GB/Touch/OfficeHS24+365/Win11 (XPSU7016W1)
415,Laptop HP Elitebook X360 830 G11 Ultra 5 135U/16GB/512GB/Touch/Pen/Win11 Pro (A7RB9PT)
420,Laptop Lenovo ThinkPad X1 Carbon Ultra 7 165U/64GB/1TB/120Hz/Win11 Pro (21KC00AGVN)
427,Laptop LG Gram 14Z90S Ultra 5 125H/16GB/512GB/Win11 (14Z90S-G.AH55A5)
428,Laptop LG Gram 14Z90S Ultra 7 155H/16GB/512GB/Win11 (14Z90S-G.AH75A5)
429,Laptop LG Gram 16Z90S Ultra 7 155H/16GB/512GB/Win11 (16Z90S-G.AH76A5)
430,Laptop LG Gram 17Z90S Ultra 7 155H/16GB/1TB/Win11 (17Z90S-G.AH78A5)
431,Laptop LG Gram 16Z90SP Ultra 7 155H/16GB/512GB/Win11 (16Z90SP-K.AH78A5)
433,Laptop HP Elitebook 635 Aero G11 R7 8840HS/16GB/512GB/Win11 (A8WS7PT)
438,Laptop Lenovo ThinkPad T14s Ultra 5 125U/16GB/512GB/Win11 Pro (21LS005RVN)
454,Laptop MacBook Air 13 inch M4 16GB/256GB
455,Laptop MacBook Air 13 inch M4 16GB/512GB
456,Laptop MacBook Air 13 inch M4 16GB/1TB
457,Laptop MacBook Air 13 inch M4 24GB/256GB
458,Laptop MacBook Air 13 inch M4 24GB/512GB
459,Laptop MacBook Air 13 inch M4 24GB/1TB
460,Laptop MacBook Air 13 inch M4 32GB/256GB
461,Laptop MacBook Air 13 inch M4 32GB/512GB
462,Laptop MacBook Air 13 inch M4 32GB/1TB
