group_id,product_id,product_name,variant
61,67d835cb59d8fd4b8a5d440c,"Điện thoại vivo Y03 4GB/64GB",64GB
62,67d835cb59d8fd4b8a5d440e,"Điện thoại realme Note 60 4GB/128GB","4GB - 128GB"
63,67d835cc59d8fd4b8a5d4411,"Điện thoại vivo V30e 5G 8GB/256GB",8GB
64,67d835ce59d8fd4b8a5d4413,"Điện thoại realme Note 50 3GB/64GB","3GB - 64GB"
65,67d835cf59d8fd4b8a5d4415,"Điện thoại vivo V30 5G 12GB/512GB",NULL
66,67d835d059d8fd4b8a5d4416,"Điện thoại realme C61 4GB/128GB",NULL
67,67d835d059d8fd4b8a5d4417,"Điện thoại Viettel Sumo 4G T2",NULL
68,67d835d159d8fd4b8a5d4418,"Điện thoại Nokia 105 4G Pro",NULL
69,67d835d259d8fd4b8a5d4419,"Điện thoại Benco 4G G3",NULL
70,67d835d259d8fd4b8a5d441a,"Điện thoại Samsung Galaxy A55 5G 8GB/256GB","8GB - 256GB"
71,67d835d359d8fd4b8a5d441c,"Điện thoại Masstel IZI T6 4G",NULL
72,67d835d359d8fd4b8a5d441d,"Điện thoại Mobell M239 4G",NULL
73,67d835d359d8fd4b8a5d441e,"Điện thoại Nokia HMD 105 4G",NULL
74,67d835d459d8fd4b8a5d441f,"Điện thoại Nokia 220 4G",NULL
75,67d835d459d8fd4b8a5d4420,"Điện thoại Masstel IZI 10",NULL
76,67d835d559d8fd4b8a5d4421,"Điện thoại Samsung Galaxy M35 5G 8GB/256GB",NULL
77,67d835d559d8fd4b8a5d4422,"Điện thoại Nokia 110 4G Pro",NULL
78,67d835d659d8fd4b8a5d4423,"Điện thoại Masstel Fami 50 4G",NULL
79,67d835d659d8fd4b8a5d4424,"Điện thoại Mobell F309 4G",NULL
80,67d835d759d8fd4b8a5d4425,"Điện thoại OPPO Reno12 5G 12GB/256GB",256GB
81,67d835d859d8fd4b8a5d4427,"Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB",256GB
82,67d835d959d8fd4b8a5d4429,"Điện thoại HONOR X7c 8GB/256GB",NULL
83,67d835da59d8fd4b8a5d442a,"Điện thoại Samsung Galaxy A16 4GB/128GB","4GB - 128GB"
84,67d835db59d8fd4b8a5d442d,"Điện thoại Samsung Galaxy M15 5G 4GB/128GB",4GB
85,67d835dc59d8fd4b8a5d442f,"Điện thoại Mobell M539",NULL
86,67d835dd59d8fd4b8a5d4430,"Điện thoại Mobell M331 4G",NULL
87,67d835de59d8fd4b8a5d4431,"Điện thoại Mobell F209",NULL
88,67d835de59d8fd4b8a5d4432,"Điện thoại Masstel Fami 60S 4G",NULL
89,67d835de59d8fd4b8a5d4433,"Điện thoại vivo Y18 4GB/128GB",4GB
90,67d835df59d8fd4b8a5d4435,"Điện thoại OPPO Reno12 5G 12GB/256GB Hồng",NULL
91,67d835df59d8fd4b8a5d4436,"Điện thoại Nokia 3210 4G",NULL
92,67d835e059d8fd4b8a5d4437,"Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB",256GB
93,67d835e259d8fd4b8a5d4439,"Điện thoại OPPO Reno12 Pro 5G 12GB/512GB",NULL
94,67d835e259d8fd4b8a5d443a,"Điện thoại Samsung Galaxy M54 5G 8GB/256GB",NULL
95,67d835e359d8fd4b8a5d443b,"Điện thoại Itel it9211",NULL
96,67d835e459d8fd4b8a5d443c,"Điện thoại Itel it9310",NULL
97,67d835e559d8fd4b8a5d443d,"Điện thoại OPPO Reno12 F 5G 8GB/256GB",8GB
98,67d835e759d8fd4b8a5d443f,"Điện thoại OPPO A38 6GB/128GB",NULL
99,67d835eb59d8fd4b8a5d4440,"Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng",NULL
100,67d835eb59d8fd4b8a5d4441,"Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng",Hồng
101,67d835ec59d8fd4b8a5d4443,"Điện thoại HONOR 200 5G 12GB/256GB",256GB
102,67d835ed59d8fd4b8a5d4445,"Điện thoại vivo Y100 8GB/128GB",128GB
103,67d835ee59d8fd4b8a5d4447,"Điện thoại HONOR Magic V3 5G 12GB/512GB",NULL
104,67d835ef59d8fd4b8a5d4448,"Điện thoại OPPO Find N3 5G 16GB/512GB",NULL
105,67d835ef59d8fd4b8a5d4449,"Điện thoại OPPO A58 8GB/128GB",NULL
106,67d835f059d8fd4b8a5d444a,"Điện thoại Itel it2600",NULL
