group_id,product_id,product_name
73,67e54d116293190bc2b971db,"Điện thoại Nokia HMD 105 4G"
74,67e54d116293190bc2b971dc,"Điện thoại Nokia 220 4G"
75,67e54d116293190bc2b971dd,"Điện thoại Masstel IZI 10"
76,67e54d126293190bc2b971de,"Điện thoại Samsung Galaxy M35 5G 8GB/256GB"
77,67e54d126293190bc2b971df,"Điện thoại Nokia 110 4G Pro"
78,67e54d126293190bc2b971e0,"Điện thoại Masstel Fami 50 4G"
79,67e54d126293190bc2b971e1,"Điện thoại Mobell F309 4G"
80,67e54d136293190bc2b971e2,"Điện thoại OPPO Reno12 5G 12GB/256GB"
81,67e54d136293190bc2b971e4,"Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB"
82,67e54d146293190bc2b971e6,"Điện thoại HONOR X7c 8GB/256GB"
83,67e54d146293190bc2b971e7,"Điện thoại Samsung Galaxy A16 4GB/128GB"
84,67e54d146293190bc2b971ea,"Điện thoại Samsung Galaxy M15 5G 4GB/128GB"
85,67e54d156293190bc2b971ec,"Điện thoại Mobell M539"
86,67e54d156293190bc2b971ed,"Điện thoại Mobell M331 4G"
87,67e54d156293190bc2b971ee,"Điện thoại Mobell F209"
88,67e54d166293190bc2b971ef,"Điện thoại Masstel Fami 60S 4G"
89,67e54d166293190bc2b971f0,"Điện thoại vivo Y18 4GB/128GB"
90,67e54d166293190bc2b971f2,"Điện thoại OPPO Reno12 5G 12GB/256GB Hồng"
91,67e54d166293190bc2b971f3,"Điện thoại Nokia 3210 4G"
92,67e54d176293190bc2b971f4,"Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB"
93,67e54d176293190bc2b971f6,"Điện thoại OPPO Reno12 Pro 5G 12GB/512GB"
94,67e54d186293190bc2b971f7,"Điện thoại Samsung Galaxy M54 5G 8GB/256GB"
95,67e54d186293190bc2b971f8,"Điện thoại Itel it9211"
96,67e54d186293190bc2b971f9,"Điện thoại Itel it9310"
97,67e54d186293190bc2b971fa,"Điện thoại OPPO Reno12 F 5G 8GB/256GB"
98,67e54d186293190bc2b971fc,"Điện thoại OPPO A38 6GB/128GB"
99,67e54d196293190bc2b971fd,"Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng"
100,67e54d196293190bc2b971fe,"Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng"
101,67e54d196293190bc2b97200,"Điện thoại HONOR 200 5G 12GB/256GB"
102,67e54d196293190bc2b97202,"Điện thoại vivo Y100 8GB/128GB"
103,67e54d1a6293190bc2b97204,"Điện thoại HONOR Magic V3 5G 12GB/512GB"
104,67e54d1a6293190bc2b97205,"Điện thoại OPPO Find N3 5G 16GB/512GB"
105,67e54d1a6293190bc2b97206,"Điện thoại OPPO A58 8GB/128GB"
106,67e54d1a6293190bc2b97207,"Điện thoại Itel it2600"
107,67e54d246293190bc2b97208,"Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W)"
108,67e54d246293190bc2b97209,"Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA)"
109,67e54d246293190bc2b9720a,"Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1)"
110,67e54d246293190bc2b9720b,"Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A)"
111,67e54d256293190bc2b9720c,"Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN)"
112,67e54d256293190bc2b9720d,"Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004)"
113,67e54d256293190bc2b9720e,"Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA)"
114,67e54d256293190bc2b9720f,"Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W)"
115,67e54d256293190bc2b97210,"Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN)"
116,67e54d256293190bc2b97211,"Laptop Acer Nitro V 15 ANV15 41 R1JY R5 6600H/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QPFSV.001)"
117,67e54d266293190bc2b97212,"Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA)"
118,67e54d266293190bc2b97213,"Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11"
119,67e54d266293190bc2b97214,"Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W)"
120,67e54d266293190bc2b97215,"Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN)"
121,67e54d266293190bc2b97216,"Laptop Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H/16GB/512GB/Win11 (NX.J4YSV.001)"
122,67e54d266293190bc2b97217,"Laptop MacBook Air 13 inch M2 16GB/256GB"
123,67e54d276293190bc2b97218,"Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W)"
124,67e54d276293190bc2b97219,"Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT)"
125,67e54d276293190bc2b9721a,"Laptop Lenovo Ideapad Slim 5 14IAH8 i5 12450H/16GB/1TB/Win11 (83BF003WVN)"
126,67e54d276293190bc2b9721b,"Laptop Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H/16GB/512GB/Win11 (NX.J4YSV.002)"
127,67e54d276293190bc2b9721c,"Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007)"
128,67e54d276293190bc2b9721d,"Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)"
129,67e54d286293190bc2b9721e,"Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP)"
130,67e54d286293190bc2b9721f,"Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)"
131,67e54d286293190bc2b97220,"Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001)"
132,67e54d286293190bc2b97221,"Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)"
133,67e54d286293190bc2b97222,"Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT)"
134,67e54d286293190bc2b97223,"Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)"
135,67e54d296293190bc2b97224,"Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001)"
136,67e54d296293190bc2b97225,"Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)"
137,67e54d296293190bc2b97226,"Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)"
138,67e54d296293190bc2b97227,"Laptop MSI Gaming Thin 15 B12UCX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Balo/Win11 (2046VN)"
